Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Africa Eastern and Southern,AFE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.017504843,0.971323798,0.931920141,0.925464632,0.918611814,0.946474948,0.951132322,0.971562628,0.969680078,0.908374394,0.90039915,0.971980787,0.975749135,1.009962896,1.057181535,1.032998428,1.023645551,1.045967785,1.086448849,1.021953566,1.048875556,1.00533811,1.021646329,1.031833091,1.041144792,0.987393167,0.971016455,0.959978017,0.933541201,,,
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.238472916,0.206030281,0.098719116,0.085985605,0.076131454,0.069020116,0.062588034,0.056826618,0.053197499,0.04065273,0.037054937,0.037487865,0.0486709,0.057008038,0.045699608,0.06392697,0.073392946,0.087083129,0.158356378,0.211306251,0.297065212,0.407073503,0.335351023,0.263715761,0.234036914,0.232175631,0.208857196,0.203327569,0.200151071,,,
Africa Western and Central,AFW,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.440470203,0.474867701,0.516676903,0.518951549,0.49285848,0.48749479,0.507633495,0.488415589,0.46162232,0.453548996,0.44724362,0.474139685,0.474875186,0.474592265,0.474318246,0.509458302,0.48795251,0.475147838,0.475024545,0.426769596,0.472819125,0.497022584,0.490866787,0.504655299,0.507671121,0.480743071,0.472959364,0.476437769,0.515544239,,,
Angola,AGO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.534250026,0.533109052,0.503264464,0.527722889,0.495417829,0.773025567,0.792321385,0.7887532,0.740253652,0.79725864,0.754476372,0.761842805,0.777423086,0.993848349,1.028353667,0.937036692,1.00943404,1.123635278,1.155992846,1.205901589,1.221514741,1.216316979,1.204798883,1.261541742,1.285364553,1.260920989,1.227702942,1.0343173,0.887380364,,,
Albania,ALB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.840840616,1.258115765,0.689859284,0.641405614,0.667178794,0.611710204,0.621836957,0.470097809,0.575350085,0.955359308,1.026213109,1.052228093,1.229101183,1.352144481,1.417273358,1.351491805,1.353362203,1.420867288,1.414847553,1.47565225,1.572250938,1.734823308,1.579091995,1.654524278,1.806788541,1.759987059,1.714126173,1.948872038,1.939731563,,,
Andorra,AND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.521831658,7.23537924,6.9630787,6.724177518,6.541578914,6.733479486,6.99159455,7.307441152,7.63953851,7.923191648,7.952286282,7.721549062,7.566240292,7.242415961,7.344262295,7.353780223,6.790542626,6.531046661,6.439303601,6.156687702,6.157198001,5.850885991,5.944654058,5.942800545,5.807127618,6.026181837,6.080600298,6.104133927,5.97340536,,,
Arab World,ARB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.870778858,2.912911283,2.959285707,3.082221879,3.166690293,3.161191366,3.196048494,3.21328534,3.16314475,3.131298918,3.163304937,3.28250948,3.347226798,3.361727771,3.474239846,3.704297926,3.801646161,3.883139874,4.093538195,4.193271548,4.322001927,4.308740507,4.512189409,4.495194439,4.600190659,4.617963545,4.57030837,4.528350612,4.438715965,,,
United Arab Emirates,ARE,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.29910246,31.74752305,29.05169877,28.59923567,29.76407103,30.07744196,29.85678902,30.49007603,29.80576664,28.99499634,26.97453501,29.14565622,28.20537955,27.89114345,27.03156411,25.34315035,22.91623744,21.34759078,22.03262691,19.85255706,19.04327931,18.5899326,19.22311613,20.0154209,19.95185248,20.94809226,21.30760952,21.95061433,20.7974984,,,
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.06082582,3.183892912,3.201675429,3.268462271,3.308173561,3.267757293,3.590723767,3.570643522,3.692658254,3.67974327,3.577628213,3.349908589,3.117424796,3.370102174,3.685184209,3.762123928,3.954453814,4.123292779,4.195342638,3.889060402,4.122245087,4.296015486,4.277881789,4.359886344,4.216360632,4.314433522,4.227539442,4.089471516,3.987234198,,,
