Variable:,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr,pr
,China,United States,United Kingdom,Australia,Germany,Angola,Albania,United Arab Emirates,Argentina,Armenia,Austria,Azerbaijan,Belgium,Benin,Burkina Faso,Bangladesh,Bulgaria,Bahrain,Belarus,Belize,Bolivia,Brazil,Barbados,Brunei,Botswana,Canada,Chile,Switzerland,Cameroon,Colombia,Costa Rica,Cuba,Cyprus,Czech Republic,Algeria,Denmark,Dominican Republic,Ecuador,Egypt,Estonia,Ethiopia,Spain,Finland,Fiji,France,Georgia,Ghana,Greece,Guatemala,Honduras,Hungary,India,Indonesia,Ireland,Iran,Iceland,Israel,Italy,Cambodia,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kyrgyz Republic,Kuwait,Sri Lanka,Latvia,Lesotho,Lithuania,Luxembourg,Madagascar,Malawi,Malaysia,Maldives,Mali,Mauritania,Mauritius,Macedonia,Mexico,Mongolia,Mozambique,Namibia,Nepal,New Zealand,Nicaragua,Nigeria,Netherlands,Norway,Oman,Pakistan,Panama,Peru,Philippines,Poland,Portugal,Paraguay,Qatar,Romania,Russia,Saudi Arabia,Singapore,El Salvador,Suriname,Slovakia,Slovenia,Sweden,Syria,Chad,Thailand,Tajikistan,Trinidad and Tobago,Tunisia,South Africa,Turkey,"Tanzania, United Republic of",Uganda,Ukraine,Uruguay,Uzbekistan,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe
1901,561.73,632.77,995.77,428,663.6,970.6,1266.78,74.28,439.65,595.57,1131.62,422.4,691.48,1228.86,803.16,2403.13,711.45,65.08,602.44,2106.23,1059.35,1763.85,2016.95,3080.11,426.3,521.09,648.65,1725.14,1651,2692,3527.81,1572.74,266.49,650.85,102.86,624.97,1513.64,2479.31,42.9,462,852.05,660.97,385.9,2962.83,812.84,1024.74,1229.78,754.22,2710.77,1932.31,584.84,952.79,2780.28,1040.64,200.6,917.71,226.23,1080.58,1889.13,2693.58,1669.42,88.98,266.27,642.62,486.19,90.85,1592.74,534.66,850.26,635.46,810.07,1467.78,1119.79,2849.71,2365,325.18,101.67,1941.77,769.3,704.18,219.02,1109.04,259.91,1289.27,1717.96,2608.25,1318.84,694.59,886.26,101.33,245.93,2537.59,1523.11,2442.59,594.64,828.45,964.53,66.57,754.09,410.33,77.98,1916.2,1718.05,2402.47,788.3,1571.26,459.84,193.74,338.29,1550.33,408.52,1817.85,272.41,550.01,541.76,913.93,984.05,529.95,944.46,179.19,1903.58,1689.52,189.15,1010.55,836.85
1902,549.38,694.42,924.3,321.23,651.64,988.09,1146.61,63.22,495.48,509.83,1137.18,426.88,736.04,967.22,819.94,2357.41,576.64,26.94,656.34,2078.73,1108.48,1753.66,2220.01,3131,377.61,531.63,643.06,1591.32,1704.12,2470.34,2689.71,1282.37,483.61,651.32,91.5,572.24,1454.55,2016.31,38.84,684.02,750.96,660.49,544.69,2478.55,766.73,1000.59,1151.91,609.73,2705.22,1932.31,654.67,999.69,2621.93,989.21,233.36,824.13,325.04,901.4,1860.87,1706.87,1774.96,120.04,276.12,713.1,560.43,117.82,2180.1,668.59,789.55,646.53,793.06,1366.86,1161.83,3330.08,2365,299.7,88.7,1941.77,655.1,672.79,216.45,960.22,258.52,1464.07,1604.1,2256.33,1129.07,643.77,905.97,88.2,197.19,2437.37,1549.61,2352.97,602.45,940.56,1082.87,22.56,651.37,433.31,76.14,2126.7,1718.05,2771.72,867.51,1379.98,541.55,320.28,338.29,1462.32,606.4,1819.21,253.59,432.73,569.61,930.24,1256.31,528.19,1030,215.21,1903.18,1696.83,171.38,1018.9,655.7
1903,616.98,661.39,1389.74,527.82,694.62,1013.01,995.74,66.3,540.98,491.95,1273.92,391.05,887.57,953.64,774.04,2293.01,526.27,57.85,725.6,2064.64,1202.56,1725.01,2109.73,3035.63,356.61,522.74,485.49,1525.05,1651.43,2608.34,3479.66,1334.25,387.52,775.1,73.28,753.14,1429.74,1884.08,35.38,702.18,923.36,556.15,558.54,2073.58,799.6,951.8,1014.41,621.86,2699.36,1932.31,644.25,1121.12,2864.34,1329.61,214.16,887.25,229.05,911.66,1876.5,1906.67,1853.88,91.59,268.25,648.55,395.27,94.86,1658.13,721.74,567.09,745.98,950,1501.58,1020.44,2772.41,2365,326.14,97.46,1941.77,598.91,710.58,210.42,880.38,216.67,1165.01,1718.29,2603.1,1199.75,836.22,1056.68,109.7,277.34,2530.03,1543.36,2191.89,655.14,818.48,1146.13,58.72,550.46,434.62,77.61,2287.7,1718.05,2481.84,904.61,1592.55,618.6,228.33,338.29,1484.06,491.59,1818.55,284.17,350.4,512.99,1116.72,1307.79,486.21,1193.4,178.85,1915.51,1746,180.99,934.26,549.5
1904,591.51,627.57,992.45,496.03,613.97,930.55,1044.11,65.09,557.03,639.79,1224.16,490.04,668.69,908.09,818.73,2396.89,501.46,43.17,571.02,2096.82,1077.59,1726.37,1849.09,3081.95,400.12,514.83,704.48,1434.71,1625.96,2572.35,3499.23,1325.99,554.7,618.27,105.6,598.5,1437.55,2122.62,45.02,636.83,803.59,582.28,499.43,2849.87,678.64,993.77,972.32,689.9,2710.25,1932.31,563.15,934.47,2846.41,1053.29,233.96,965.14,444.5,893.15,1896.86,2411.39,1593.58,147.59,235.05,674.77,387.67,99.75,1345.46,649.05,628.8,660.45,765.48,1570.76,1403.64,2864.63,2365,322.7,94.09,1941.77,617.39,749.24,217.78,1163.97,295.29,1563.94,1990.73,2589.91,1131.42,602.58,819.89,92.09,246.54,2518.91,1522.94,2591.29,533.02,754.63,1064.16,52.43,535.95,425.32,77.57,2084.3,1718.05,2533.15,714.77,1491.14,526.66,320.49,329.88,1525.84,447.3,1816.61,274.72,445.39,615.27,1150.17,1129.92,423.84,1149.23,173.26,1993.19,1964.38,182.88,1017.61,694.97
1905,609.91,733.08,970.7,360,707.6,929.88,1006.97,91.37,538.47,528.16,1212.56,444.95,844.95,1007.57,795.47,2705.51,580.75,51.56,670.15,2119.29,1104.72,1757.17,1865.64,3015.19,332.56,514.23,633.63,1740.01,1703.11,2601.18,3264.67,1396.65,488.66,659.02,87.81,679.96,1404.33,1822.42,43.03,599.11,868.05,530.7,515.4,1906.14,790.02,925.08,1094.5,649.74,2707.94,1932.31,644.23,915.86,2766.05,932.49,208.52,877.24,368.21,1051.6,1912.83,3260.5,1949.15,140.08,267.28,727.5,396.05,99.67,1410.22,641.67,801.85,671.47,853.95,1599.39,1134.69,2839.51,2365,373.43,122.11,1941.77,644.09,789.48,218.2,931.99,252.83,1611.68,1774.34,2546.99,1235.81,742.98,1022.31,135.44,251.84,2489.3,1503.3,2093.4,649.01,679.65,1260.27,48.07,624.9,440.78,76.9,2232.8,1718.05,2401.01,812.7,1598.63,542.92,271.45,336.98,1567.99,433.61,1817.07,265.19,441.36,516.01,1085.61,1158.37,552.13,1081.66,168.79,1942.03,1742.54,186.82,907.78,508.35
1906,593.91,734.07,1133.77,480.64,697.6,1021.08,1179.96,89.7,433.01,537.37,1287.19,430.66,828.5,1008.27,912.3,2122.35,637.78,76.88,763.99,2095.77,1088.58,1708.96,1997.76,3031.2,424.66,520.07,555.43,1358.29,1695.2,2593.47,2781.7,1619.19,613.65,778.44,90.32,661.5,1372.01,1922.3,37.04,661.73,893.42,592.99,480.93,3367.02,730.12,979.45,1189.98,759.48,2710.23,1932.31,720.86,1064.22,2936.09,993.11,258.16,905.37,265.97,873.6,1874.24,3188.64,1625.96,120.61,258.3,797.15,365.15,112.6,1536.27,682.75,831.23,704.14,870.34,1565.77,1074.03,2955.29,2365,388.78,124.51,1941.77,710.37,762.71,230.8,974.64,280.47,1452.8,1729.26,2367.76,1229.39,749.96,1021.1,136.21,271.92,2425.17,1523.03,2563.79,639.17,698.92,754.22,76.72,708.87,435.61,78.79,2562.6,1718.05,2275.61,924.35,1532.59,538.68,323.68,349.71,1475.97,432,1817.97,313.48,486.46,596.39,1169.01,1250.51,632.88,880.99,200.21,1878.21,1718.5,177.4,871.97,682.03
1907,615.89,694.54,1126.33,477.43,627.3,969.96,1029.54,82.17,483.98,487.29,1174.57,377.06,680.38,948.9,699.15,2056.55,462.66,63.03,578.93,2126.79,1091.78,1719.46,1732.13,3066.59,443.68,508.96,548.53,1465.05,1456.73,2749.47,1963.84,1114.74,535.11,683.31,81,642.45,1399.53,2151.84,42.18,533.3,826.25,584.54,478.97,2344.27,818.24,898.26,1050,626.57,2716.76,1932.31,515.43,962,2815.41,1068.31,233.3,765.31,383.34,890.4,1881.62,1309.52,1675.26,133.42,277.03,624.41,478.22,107.41,1739.54,575.39,1064.35,614.01,743.36,1449.66,1182.39,2965.67,2365,314.61,101.46,1941.77,556.13,714.19,225.54,1192.15,338.09,1339.92,1750.33,2156.9,1015.96,606.81,1005.9,120.14,259.64,2285.56,1593.97,2264.26,604.97,954.69,1112.15,59.02,500.66,421.72,76.73,1932.4,1718.05,3031.76,730.67,1396.08,605.68,316.43,344.24,1503.41,482.74,1816.32,219.27,553.18,558.81,914.07,1039.51,468.17,937.29,215.75,1886.02,1748.9,174.05,974.52,849.11
1908,607.11,677.81,1032.2,472.44,613.13,976.61,905.34,63.86,472.93,515.05,945.77,430.29,720.78,1040.21,802.35,2543.47,534.17,43.66,660.04,2093.93,1068.41,1729.27,1681.8,3461.93,368.03,510.04,452.94,1433.98,1659.27,2703.26,3009.67,1342.88,570.3,567.5,96.25,608.81,1408.35,2358.53,52.98,553.3,816.28,570.73,399.06,2393.52,703.19,866.42,1191.08,640.68,2706.92,1932.31,519.72,1066.4,2874.92,1045.82,226.41,912.62,362.06,785.07,1986.06,1971.38,1620.74,127.17,269.63,654.63,416.36,98.18,1314.26,623.25,815.58,642.38,756.37,1398.46,1176.8,3093.64,2365,340.5,89.91,1941.77,527.37,688.36,224.52,983.1,211.07,1137.15,1698.85,2420.73,1196.34,628.21,940.39,87.53,360.43,2474.1,1539.65,2888.9,600.34,649.67,1156.92,30.47,605.86,432.52,75.92,2159.3,1718.05,2527.38,694.64,1078.59,494.14,310.86,345.12,1703.13,541.31,1816.32,199.34,384.83,559.35,1000.13,1115.57,522.81,1020.7,193.21,2007.86,1973.45,173.72,963.04,592.99
1909,610.73,700.21,1128.51,461.31,713.76,1093.36,1206.92,76.91,412.13,550.1,1218.74,364.08,852.29,1143.07,1009.27,2381.78,628.81,85.05,603.21,2119.3,1055.48,1734.22,2016.95,3110.46,464.84,523.82,449.59,1537.24,1747.19,2709.02,3656.97,1476.86,506.78,773.5,73.37,716.3,1386.18,2317.57,37.06,557.04,913.52,581.94,495.03,2466.1,820.04,834.08,1330.53,717.95,2713.01,1932.31,620.11,1095.83,3014.5,965.32,229.08,769.31,245.46,911.05,1954.41,2738.89,1686.01,112.33,202.67,676.39,316.52,134.69,1654.32,548.28,1140.97,557.22,864.09,1030.14,905.03,3012.77,2365,394.74,103.63,1941.77,740.97,648.38,217.57,949.53,460.6,1670.47,1853.53,2654.66,1347.09,766.1,1063.8,119.75,345.75,2555.79,1514.19,2606.09,607.86,850.08,882.26,52.79,640.11,425.34,80.69,2308.6,1718.05,2445.31,841.03,1464.27,636.8,302.7,372.3,1575.22,380.62,1817.85,265.85,609.28,563.49,808.74,1200.85,492.68,998.8,144.02,1908.92,1975.21,178.85,868.42,671.27
1910,592.42,575.31,1169.18,539.63,781.08,1002.67,1144.97,71.26,453.98,483.85,1472.51,354.29,1002.43,1128.71,799.76,2489.81,594.68,75.76,677.64,2124,1061.27,1737.08,1958.24,3828.11,416.91,511.9,526.56,1981.77,1579.37,2840.18,2721.15,1392.65,507.54,872.19,70.19,724.87,1407.35,2001.86,36.2,608.61,832.93,621.43,491.09,2819.9,1058,814.09,1396.66,770.5,2719.79,1932.31,713.65,1166.19,3073.91,1141.84,224.91,772.57,243.66,1070.21,2001.28,2881.22,1717.88,99.7,221.97,571.69,383.9,109.94,1553.6,619.98,876.95,659.58,1068.91,1148.05,1085.76,3370.56,2365,308.32,109.61,1941.77,654.96,667.97,218.81,1028.94,281.57,1583.53,1899.04,2388.34,1110.93,789.71,936.73,100.63,307.38,2396.93,1516.47,2811.6,646.14,924.91,941.78,56.13,648.29,420.21,77.04,2261.9,1718.05,2424.36,933.77,1781.18,583.61,293.01,344.18,1683.35,495.6,1817.31,231.91,486.35,563.48,902.42,1102.99,564.64,855.72,155.38,1950.07,1887.55,176.48,964.59,646.99
